Method,Round,Expected Reward,Regret,Real Reward,Cumulated Expected Reward,Cumulated Regret,Cumulated Real Reward
Expected Reward MLE,8,1.6322212984644004,0.725120381336195,1.6391172505937146,12.371248566941134,9.109243435748308,12.52923373550762
Expected Reward MLE,9,1.6523362067333847,0.6947373334260503,1.6485686553779475,14.023584773674502,9.803980769174368,14.177802390885594
Expected Reward MLE,10,1.6583380127764449,0.6788195127958465,1.6233695152115324,15.681922786450949,10.482800281970224,15.801171906097121
Expected Reward MLE,11,1.6564580733818766,0.6703988984753778,1.6456401423919658,17.338380859832856,11.153199180445572,17.44681204848911
Expected Reward MLE,12,1.677434305493601,0.6402917577227705,1.6792454686343847,19.015815165326455,11.793490938168366,19.126057517123474
Expected Reward MLE,13,1.671129918839513,0.6382370157076032,1.6865070815278718,20.686945084165938,12.431727953875956,20.812564598651356
Expected Reward MLE,14,1.6536995592183623,0.6472729690549396,1.722406426332606,22.340644643384344,13.079000922930913,22.534971024983957
Expected Reward MLE,15,1.6689507791169342,0.624129605117066,1.6973506584381102,24.00959542250127,13.70313052804797,24.232321683422093
Expected Reward MLE,16,1.6454696441982486,0.6359294331395222,1.6305048224099592,25.65506506669954,14.339059961187484,25.862826505832032
Expected Reward MLE,17,1.6462700912797745,0.627195851213496,1.621394377769579,27.301335157979207,14.966255812400993,27.484220883601594
Expected Reward MLE,18,1.6470318134044262,0.61869326518994,1.5835522580293264,28.94836697138375,15.584949077590933,29.067773141630944
Expected Reward MLE,19,1.6320818255682135,0.6255291135264857,1.6182659418072445,30.580448796951973,16.210478191117435,30.6860390834382
Expected Reward MLE,20,1.636479450101998,0.612457353038151,1.6503931030346661,32.21692824705393,16.82293554415557,32.336432186472905
Expected Reward MLE,21,1.6377419765304904,0.6034481405109218,1.6093843218603088,33.8546702235844,17.426383684666476,33.94581650833318
Expected Reward MLE,22,1.6316146103020812,0.6001653510833281,1.668722410752309,35.48628483388647,18.026549035749824,35.6145389190854
Expected Reward MLE,23,1.630301446202358,0.5939124389381829,1.6338082661722386,37.11658628008882,18.620461474687968,37.24834718525767
Expected Reward MLE,24,1.6217934384852442,0.5935584793920977,1.6617506548454373,38.73837971857406,19.214019954080126,38.91009784010315
Expected Reward MLE,25,1.598615275301287,0.607350324682658,1.6442663740693444,40.33699499387526,19.821370278762792,40.554364214172416
Expected Reward MLE,26,1.5925019518749044,0.6062917183244287,1.6294769163902527,41.92949694575031,20.427661997087235,42.183841130562726
Expected Reward MLE,27,1.6017210280487688,0.5890506712467894,1.617454954186428,43.53121797379894,21.016712668334012,43.80129608474918
Expected Reward MLE,28,1.5910849556212923,0.5905276117883456,1.5805026212750142,45.12230292942036,21.60724028012229,45.38179870602414
Expected Reward MLE,29,1.594171219893575,0.5767695489185927,1.618927841752584,46.71647414931397,22.184009829040885,47.000726547776644
Epsilon Greedy,0,0.956276222909139,1.4485862491936166,0.9762433338951998,0.956276222909139,1.4485862491936166,0.9762433338951998
Epsilon Greedy,1,1.1142008343426761,1.2891927355125292,1.087474487645179,2.0704770572518223,2.73777898470615,2.063717821540384
Epsilon Greedy,2,1.2324011196190785,1.1685607993014935,1.2116090469507907,3.302878176870899,3.906339784007636,3.275326868491148
Epsilon Greedy,3,1.308300848887032,1.088826171689788,1.3284947012587531,4.611179025757928,4.995165955697431,4.603821569749904
Epsilon Greedy,4,1.3856341326289834,1.0073770965190723,1.4121318409355264,5.9968131583868995,6.0025430522165,6.015953410685434
Epsilon Greedy,5,1.4756502119517518,0.9121793818260958,1.4278786909999603,7.472463370338659,6.9147224340425995,7.4438321016854
Epsilon Greedy,6,1.5281533923530137,0.8518767631684496,1.589058486322399,9.00061676269169,7.766599197211041,9.032890588007804
Epsilon Greedy,7,1.575523376286542,0.7962136143921235,1.5376152474490843,10.576140138978209,8.562812811603173,10.57050583545688
Epsilon Greedy,8,1.6022933052339954,0.7599967583033602,1.550366385161518,12.178433444212182,9.32280956990654,12.120872220618386
Epsilon Greedy,9,1.6286574014338173,0.7254601708292376,1.6301460937590002,13.807090845646009,10.04826974073577,13.75101831437739
Epsilon Greedy,10,1.633776262448502,0.7112860670639918,1.6065526248778093,15.440867108094526,10.759555807799767,15.357570939255204
Epsilon Greedy,11,1.634436379646527,0.7021409863874314,1.6287185014382135,17.07530348774105,11.461696794187185,16.98628944069342
Epsilon Greedy,12,1.637042252117771,0.6896453718120059,1.6447478620396636,18.712345739858787,12.15134216599919,18.63103730273311
Epsilon Greedy,13,1.640321818796418,0.6779476530125823,1.6886969659462912,20.35266755865523,12.829289819011793,20.319734268679404
Epsilon Greedy,14,1.6430231419212795,0.6662136723097493,1.6050955356823764,21.995690700576485,13.495503491321537,21.924829804361714
Epsilon Greedy,15,1.6447944957673095,0.6557306269825095,1.6993498638162325,23.640485196343832,14.15123411830406,23.624179668178037
Epsilon Greedy,16,1.65701536009245,0.6355112834556885,1.6534169329444073,25.29750055643629,14.786745401759722,25.277596601122404
Epsilon Greedy,17,1.6389307261082584,0.6452547502338128,1.6584802068635578,26.936431282544564,15.432000151993531,26.93607680798594
Epsilon Greedy,18,1.6399908596501231,0.6350174739341794,1.6516823017509004,28.576422142194698,16.067017625927726,28.587759109736837
Epsilon Greedy,19,1.6329579566806074,0.6344385498831563,1.6644282858906705,30.20938009887531,16.701456175810883,30.252187395627523
Epsilon Greedy,20,1.63960614394927,0.620879453455076,1.644754951996771,31.84898624282447,17.322335629265957,31.896942347624357
Epsilon Greedy,21,1.6465905275629824,0.6042077850154165,1.6545536229425475,33.49557677038753,17.926543414281326,33.55149597056686
Epsilon Greedy,22,1.6366926179240695,0.6060434841717384,1.6441962026542096,35.13226938831157,18.53258689845311,35.19569217322111
Epsilon Greedy,23,1.6236813618645938,0.6090134886837687,1.5976997234177435,36.75595075017619,19.14160038713687,36.79339189663882
Epsilon Greedy,24,1.6151120432906827,0.6099986106233277,1.6358703205905762,38.37106279346688,19.751598997760237,38.4292622172294
Epsilon Greedy,25,1.6173008352275844,0.5996287638364031,1.6099887107239106,39.988363628694394,20.35122776159661,40.03925092795324
Epsilon Greedy,26,1.5936832189119783,0.6142487263984555,1.6004554621860392,41.5820468476064,20.965476487995083,41.639706390139295
Epsilon Greedy,27,1.6128149614310439,0.5859723279384972,1.642568185656128,43.19486180903753,21.551448815933604,43.28227457579541
Epsilon Greedy,28,1.5903355780971435,0.5970626686984793,1.5755301156793229,44.785197387134495,22.148511484632085,44.85780469147477
Epsilon Greedy,29,1.5953633087153067,0.582175604239838,1.6353762546898618,46.38056069584993,22.730687088871903,46.49318094616474
Expected Reward UCB,0,0.928486590495259,1.4763758816074959,0.9503958770061128,0.928486590495259,1.4763758816074959,0.9503958770061128
Expected Reward UCB,1,1.121036613260109,1.2824354760830712,1.1099841528480685,2.049523203755372,2.7588113576905733,2.060380029854188
Expected Reward UCB,2,1.2323847868843867,1.1676267753003529,1.2247732527588762,3.2819079906397497,3.9264381329909197,3.2851532826130385
Expected Reward UCB,3,1.3431555696487683,1.053172730642039,1.3021007338512316,4.625063560288527,4.979610863632955,4.587254016464277
Expected Reward UCB,4,1.4109549545150546,0.9792628588052714,1.4160790606865366,6.036018514803563,5.958873722438243,6.003333077150826
Expected Reward UCB,5,1.5431419028761062,0.8404922315853425,1.564675132125477,7.579160417679675,6.799365954023591,7.5680082092763
Expected Reward UCB,6,1.5675674873673893,0.8079224871891844,1.5377958148138169,9.14672790504707,7.607288441212765,9.105804024090121
Expected Reward UCB,7,1.6064633304076625,0.759698300915351,1.5998442073218822,10.753191235454718,8.366986742128118,10.705648231411999
Expected Reward UCB,8,1.6473393276175625,0.707817996240132,1.6666388499434508,12.400530563072286,9.074804738368236,12.372287081355443
Expected Reward UCB,9,1.6631050359819572,0.6816650659486043,1.6936090349378614,14.063635599054244,9.756469804316867,14.065896116293299
Expected Reward UCB,10,1.6573365917446001,0.6768212737923069,1.6993680160034663,15.72097219079884,10.433291078109155,15.765264132296785
Expected Reward UCB,11,1.6687363915362357,0.6575476488472517,1.6656086259795009,17.38970858233511,11.090838726956434,17.430872758276255
Expected Reward UCB,12,1.679574870215138,0.6382316360385213,1.7161489757595245,19.06928345255023,11.72907036299493,19.147021734035793
Expected Reward UCB,13,1.6706446349958435,0.6386237759718112,1.6664763225746648,20.739928087546033,12.367694138966742,20.813498056610477
Expected Reward UCB,14,1.6709848781421075,0.627560607576287,1.715498783185901,22.410912965688194,12.99525474654304,22.528996839796392
Expected Reward UCB,15,1.6745609983052534,0.6158361838563456,1.681843633375053,24.085473963993397,13.611090930399369,24.210840473171473
Expected Reward UCB,16,1.6587714545246215,0.621832870096639,1.6425275107885984,25.74424541851801,14.232923800496001,25.853367983960094
Expected Reward UCB,17,1.6597076390058378,0.6110803484688705,1.6696804620536394,27.403953057523836,14.84400414896487,27.523048446013746
Expected Reward UCB,18,1.6578286405427078,0.6032146297007606,1.636869632392262,29.06178169806653,15.44721877866565,29.159918078406
Expected Reward UCB,19,1.6467849758611968,0.6070441997384998,1.5907283426405197,30.708566673927788,16.054262978404132,30.75064642104651
Expected Reward UCB,20,1.633885452708721,0.6105337004315131,1.6478212136975416,32.3424521266365,16.664796678835636,32.398467634743994
Expected Reward UCB,21,1.6362688129802496,0.600306640144471,1.5928267251305812,33.97872093961679,17.26510331898015,33.99129435987463
Expected Reward UCB,22,1.6201142225693907,0.6076136040144604,1.6400204055432717,35.59883516218619,17.872716922994506,35.63131476541786
Expected Reward UCB,23,1.616691282672067,0.600686169055361,1.5712010871500528,37.215526444858206,18.473403092049942,37.202515852567835
Expected Reward UCB,24,1.6148442035590826,0.5932450998562492,1.5864016161556294,38.8303706484173,19.066648191906197,38.78891746872349
Expected Reward UCB,25,1.6001377259062763,0.5997051654445487,1.5805766561800407,40.43050837432351,19.66635335735079,40.36949412490351
Expected Reward UCB,26,1.588303704832693,0.6026550619604093,1.5802551589883798,42.018812079156206,20.269008419311167,41.949749283891954
Expected Reward UCB,27,1.57627318249962,0.6062751320210867,1.5717243224957649,43.5950852616558,20.875283551332235,43.521473606387694
Expected Reward UCB,28,1.5827118038341321,0.5913184369411568,1.5843103478656868,45.17779706549001,21.4666019882734,45.10578395425333
Expected Reward UCB,29,1.5893017024438745,0.5781555936253954,1.6008181723273893,46.76709876793402,22.04475758189881,46.706602126580705
Expected Reward Fisher,0,0.9474127518550438,1.4574497202477155,0.9379104425958679,0.9474127518550438,1.4574497202477155,0.9379104425958679
Expected Reward Fisher,1,1.083646248374511,1.3201254794799853,1.080547771440378,2.0310590002295568,2.7775751997277065,2.0184582140362513
Expected Reward Fisher,2,1.20070759879038,1.2005296527451914,1.2424716762847423,3.2317665990199314,3.9781048524728986,3.2609298903209747
Expected Reward Fisher,3,1.277559686149415,1.119768182518823,1.2663648560795036,4.509326285169349,5.09787303499172,4.527294746400478
Expected Reward Fisher,4,1.4165032471563301,0.9755102427995224,1.396901766427355,5.925829532325677,6.073383277791236,5.9241965128278355
Expected Reward Fisher,5,1.4868574557409777,0.8976682443769842,1.5062512951259646,7.412686988066652,6.971051522168216,7.430447807953801
Expected Reward Fisher,6,1.554107673672297,0.8243688203455839,1.553858444912549,8.96679466173894,7.795420342513787,8.984306252866368
