Method,Round,Expected Reward,Regret,Real Reward
Expected Reward MLE,60,1.4993447341034298,0.3644837475048691,1.6217294407130507
Expected Reward MLE,61,1.398277088700601,0.46007844820902155,1.3245186702698863
Expected Reward MLE,62,1.5029804050939533,0.34182614741376477,1.396305027447793
Expected Reward MLE,63,1.4617013198393631,0.37136995490842073,1.6617839426479144
Expected Reward MLE,64,1.479893575021077,0.35253712341786014,1.6904430125223098
Expected Reward MLE,65,1.528923612700704,0.28921723315645465,2.0140644199712807
Expected Reward MLE,66,1.514111306044734,0.3014689111667342,1.3407171571340737
Expected Reward MLE,67,1.5089924027938066,0.30213459873742593,1.6858742822907093
Expected Reward MLE,68,1.4913369172150992,0.3088986081115867,1.1597901948892126
Expected Reward MLE,69,1.4029683405655782,0.39194918897947595,1.369360118572064
Expected Reward MLE,70,1.3906776315909435,0.4019149102026128,1.0781601774249616
Expected Reward MLE,71,1.4804423557367656,0.3106244615074535,1.5508152959652446
Expected Reward MLE,72,1.4377143121230487,0.3500484606844544,1.0988580326178345
Expected Reward MLE,73,1.3514789156322484,0.43452249620368094,1.2095351075085687
Expected Reward MLE,74,1.4102670972771063,0.3757343145588227,1.5706745015949226
Expected Reward MLE,75,1.4606723646511786,0.32191794247414174,1.1297630991231182
Expected Reward MLE,76,1.3879339235242436,0.39046436680449154,1.5022555860082247
Expected Reward MLE,77,1.4060629419909563,0.36335577188571105,1.6495161047740523
Expected Reward MLE,78,1.3862542497662806,0.36815200899534034,0.9944322425431812
Expected Reward MLE,79,1.3975756774356445,0.34970306959477127,1.0578742552811777
Expected Reward MLE,80,1.3999250784254713,0.34426232057305434,1.5338240292035565
Expected Reward MLE,81,1.41586831399476,0.3253619055918513,1.1657458318031928
Expected Reward MLE,82,1.4050815513241364,0.333231406749195,1.4745771729804347
Expected Reward MLE,83,1.3604420258963303,0.37018627951185384,1.7161542496945752
Expected Reward MLE,84,1.4287862097120245,0.2965334613765616,1.1052840540472524
Expected Reward MLE,85,1.3215983887552314,0.4001944356285768,1.3144769374381464
Expected Reward MLE,86,1.3845939213571368,0.3371989030266713,1.5914280788921833
Expected Reward MLE,87,1.3660791900233018,0.35203637931661635,1.3683803342099536
Expected Reward MLE,88,1.337946300078602,0.3740558827492973,1.4502010216812253
Expected Reward MLE,89,1.354427561431172,0.34742831940968116,0.9974109101495313
Expected Reward MLE,90,1.39102662807227,0.3067109478094444,1.2534137902474702
Expected Reward MLE,91,1.3539073429163968,0.33997610168231845,1.6101986803925092
Expected Reward MLE,92,1.3818731841035168,0.31201026049519803,1.5087723750764017
Expected Reward MLE,93,1.3508370684307152,0.3324065195629826,1.320209332532584
Expected Reward MLE,94,1.413823393486253,0.261418988602608,1.4604994560676816
Expected Reward MLE,95,1.3660508871353239,0.2943742093619405,1.5808502352731226
Expected Reward MLE,96,1.3465861135763066,0.29971740148769715,1.284494768188543
Expected Reward MLE,97,1.3788328428453447,0.2602153225242806,1.6010377018673267
Expected Reward MLE,98,1.3847477186794903,0.24259861356861326,1.185432745165303
Expected Reward MLE,99,1.3051355732964427,0.31300102438685984,1.35101342284702
Epsilon Greedy,0,0.9369905658705523,1.3291235809571476,0.9397311384453407
Epsilon Greedy,1,1.237110199777917,1.029003947049783,1.170991045930159
Epsilon Greedy,2,1.1940338002907858,1.0720803465369142,1.8927390782304743
Epsilon Greedy,3,1.1856932080840619,1.0747938635741014,0.8237860847415026
Epsilon Greedy,4,1.373733810965143,0.8818512888173798,1.1151594352513634
Epsilon Greedy,5,1.5183948260935565,0.7371902736889661,1.198838588732046
Epsilon Greedy,6,1.5784117409562677,0.6622425115317612,1.6839643715976422
Epsilon Greedy,7,1.576144129271073,0.6518907017762489,1.253605194622647
Epsilon Greedy,8,1.643609376717399,0.5619558375721295,1.5391793582869113
Epsilon Greedy,9,1.6230924602442407,0.5823267447927546,1.534757499123034
Epsilon Greedy,10,1.6448704049148783,0.5590299226456046,1.8863183618830084
Epsilon Greedy,11,1.5066707398996997,0.6955774972699207,1.4001049146126123
Epsilon Greedy,12,1.6004370030557002,0.6008448220523194,1.7653223757591967
Epsilon Greedy,13,1.6882329026602612,0.5096662786358198,1.951988961173836
Epsilon Greedy,14,1.634950851746265,0.562948329549816,1.6720660054349636
Epsilon Greedy,15,1.6421352722886102,0.5494471245168538,1.4323108735672418
Epsilon Greedy,16,1.6720089657555028,0.5067283642447751,1.5614902561329733
Epsilon Greedy,17,1.59322987904672,0.5805369819713391,1.5688447468530407
Epsilon Greedy,18,1.556840445275057,0.6134566244444674,1.5500332501643006
Epsilon Greedy,19,1.6607734191714363,0.5084863817084848,1.5267247195623643
Epsilon Greedy,20,1.636491857121409,0.529007125979651,1.288079482699987
Epsilon Greedy,21,1.6161488307786191,0.5391800127454726,1.3848207809205704
Epsilon Greedy,22,1.6323063691285016,0.5158424538219881,1.6741078451717104
Epsilon Greedy,23,1.6410739719354406,0.5029631499200966,1.5304724987454492
Epsilon Greedy,24,1.5224077886063987,0.616600733341317,1.4938787752079237
Epsilon Greedy,25,1.6075180398857447,0.5309956493129301,1.9168285828810545
Epsilon Greedy,26,1.6046963381874375,0.5321938561095938,1.9144052526938464
Epsilon Greedy,27,1.5583429245412508,0.5780640916318073,1.509939785574241
Epsilon Greedy,28,1.606119091566424,0.5240878984746302,1.6498050795747312
Epsilon Greedy,29,1.6627529662362768,0.4645644151531799,1.8306402011160272
Epsilon Greedy,30,1.5570821755897926,0.5674731490341597,1.5105412558573275
Epsilon Greedy,31,1.5483917672628345,0.5730077721322926,1.3854265275117994
Epsilon Greedy,32,1.5653438424545625,0.5560556969405643,1.9676170501729269
Epsilon Greedy,33,1.5984337719509223,0.5212249608723768,1.511584667478453
Epsilon Greedy,34,1.5004145866188516,0.6192441462044472,1.6576703300556423
Epsilon Greedy,35,1.6720889997560975,0.4431354929124854,1.4436995507067238
Epsilon Greedy,36,1.647508362695692,0.4655081119932892,1.873742173675462
Epsilon Greedy,37,1.6039927377973164,0.5055245590337667,1.7206816888039866
Epsilon Greedy,38,1.4943176106807339,0.6093160799473762,1.0015743047340662
Epsilon Greedy,39,1.6848930969018818,0.4176507643232453,1.6332106351046072
Epsilon Greedy,40,1.5854902250129848,0.5170536362121424,1.3280223145289278
Epsilon Greedy,41,1.652463322214915,0.44786769693171363,1.275443681115429
Epsilon Greedy,42,1.570970563254653,0.5275847450645057,1.434448894266112
Epsilon Greedy,43,1.6448472676396113,0.44416517976485337,1.516510393088185
Epsilon Greedy,44,1.6515641788715556,0.43744826853290864,1.5970411759194603
Epsilon Greedy,45,1.7126146153685495,0.3712137616308841,1.5851490073405563
Epsilon Greedy,46,1.6610318124153534,0.4086228008742279,2.1030456764343746
Epsilon Greedy,47,1.6051624364127548,0.4625179902772423,1.4497640706840587
Epsilon Greedy,48,1.6705732865480747,0.3793252175535619,1.935391788020014
Epsilon Greedy,49,1.6314837693049618,0.4086581566239061,1.3362436013500767
Epsilon Greedy,50,1.6594613814005355,0.3743602005199142,1.6036804355157892
Epsilon Greedy,51,1.641183982209796,0.39147799763361174,1.5568859043610819
Epsilon Greedy,52,1.5361672665576684,0.4714445764150497,1.2509722827341825
Epsilon Greedy,53,1.621415547814826,0.38502660640955777,1.4398512213791697
Epsilon Greedy,54,1.573410827307485,0.4277317131080797,1.5756223044657596
Epsilon Greedy,55,1.5356876225238674,0.4635887457301121,1.5683395675777991
Epsilon Greedy,56,1.5531257720748617,0.43168460514695384,1.2964139423629035
Epsilon Greedy,57,1.5886619158652426,0.3953748340435593,1.8086603161878267
Epsilon Greedy,58,1.6146837776137735,0.36650349013250516,1.2264426515133346
Epsilon Greedy,59,1.499719633707053,0.4809897204666338,1.4417293583178967
Epsilon Greedy,60,1.4943696161689912,0.478673147148152,1.0748732992117564
Epsilon Greedy,61,1.520473560036065,0.4483615766429436,1.5215790852682858
Epsilon Greedy,62,1.5243993222889962,0.439229344419563,1.7613595618899156
Epsilon Greedy,63,1.4766334880796073,0.48687794159464287,1.5203647277999417
Epsilon Greedy,64,1.54856395652719,0.4149474731470602,2.0315608308748843
Epsilon Greedy,65,1.5638245359799996,0.3969354718664576,1.6403032214300297
Epsilon Greedy,66,1.5817114914913164,0.37109994391056067,1.2759553691239158
Epsilon Greedy,67,1.4751908856892613,0.4742148894053245,1.6101955533740935
Epsilon Greedy,68,1.6004427181901717,0.3489630569044141,1.2824759191587023
Epsilon Greedy,69,1.4955608036702457,0.4484652997141287,1.5232976599152617
Epsilon Greedy,70,1.5910831354716233,0.350299261568565,1.6028228976982435
Epsilon Greedy,71,1.6243977204841273,0.3057017157805404,1.8126612392624812
Epsilon Greedy,72,1.421682949845068,0.505400795090769,1.792924697294001
Epsilon Greedy,73,1.58168622782167,0.34536940087346285,1.8078762973696392
Epsilon Greedy,74,1.5093447564333238,0.4105000304765519,1.1876193907653767
Epsilon Greedy,75,1.5870864238745737,0.32355663820422426,1.4312503454294057
Epsilon Greedy,76,1.5316440332799308,0.37600711125577996,1.3325745313791102
Epsilon Greedy,77,1.4788169118179675,0.4213558731727666,1.6946233007728135
Epsilon Greedy,78,1.5417072753081251,0.3582622641881613,1.238483232942735
Epsilon Greedy,79,1.5477445308211177,0.3522250086751689,1.7109831581083272
Epsilon Greedy,80,1.521979762700402,0.37094380260772153,1.6545592055269238
Epsilon Greedy,81,1.491563675293059,0.3985272298916279,1.8141663309839013
Epsilon Greedy,82,1.5375511278508318,0.35253977733385466,1.6381608958643405
Epsilon Greedy,83,1.4987324769908754,0.39118860310388065,1.570347056511898
Epsilon Greedy,84,1.5556945193697467,0.3342265607250103,1.6505661344839346
Epsilon Greedy,85,1.5794582381138376,0.29528994627229166,1.5935963821910866
Epsilon Greedy,86,1.5065447907819158,0.35765656026025555,1.7387762704670282
Epsilon Greedy,87,1.5178128217820204,0.33906867799274937,1.392554369989304
Epsilon Greedy,88,1.5255593611673341,0.32571413179431846,1.4394022535874906
Epsilon Greedy,89,1.521751150141644,0.3253041288936459,1.2640036110352848
Epsilon Greedy,90,1.418718271087812,0.42095612860598236,1.2613959183815697
Epsilon Greedy,91,1.3941256951316372,0.4455487045621574,1.3180547847456014
Epsilon Greedy,92,1.491564727488465,0.3481096722053294,1.3864983978133294
Epsilon Greedy,93,1.497125444768291,0.3357330964316828,1.4575852655083628
Epsilon Greedy,94,1.539573408176514,0.28437886658870887,1.5559629396593497
Epsilon Greedy,95,1.5040401139285116,0.3104994008555815,1.5715539414591744
Epsilon Greedy,96,1.418890175465361,0.3890969538446908,1.2572360899962896
Epsilon Greedy,97,1.4275231586111048,0.3769204699975502,1.747076432717743
Epsilon Greedy,98,1.5248283167543675,0.27503312595895374,1.4561175558379524
Epsilon Greedy,99,1.4184738700088997,0.37615203592719815,1.3965463303668715
Expected Reward UCB,0,0.6767045399474763,1.3486890027934704,0.25927002813085187
Expected Reward UCB,1,0.9443094096167323,1.0810841331242143,1.1543741894395323
Expected Reward UCB,2,1.1505266964973997,0.8748668462435473,1.5369899645168095
Expected Reward UCB,3,1.1598034512152902,0.8633730987823344,0.9820448201108615
Expected Reward UCB,4,1.2922313568932584,0.7194735142539298,0.7928212592332708
Expected Reward UCB,5,1.4325557243610467,0.5774477551203568,1.5047996699757344
Expected Reward UCB,6,1.4825270384244413,0.527476441056962,1.8019346714002655
Expected Reward UCB,7,1.444372802756168,0.5586339041726127,1.1086205749381755
Expected Reward UCB,8,1.467335918469382,0.5333828406980711,2.0456967971429694
Expected Reward UCB,9,1.5189122471136731,0.4779058477053191,1.527831550453366
Expected Reward UCB,10,1.45140629362692,0.540248461960426,1.3129236416505197
Expected Reward UCB,11,1.5159168335831255,0.47164877547243395,1.1686543626624646
Expected Reward UCB,12,1.469500273751764,0.5130206493840862,1.3741777230009524
Expected Reward UCB,13,1.5729926845413107,0.40895661172859443,1.4601452524363705
Expected Reward UCB,14,1.5147926311468005,0.4644430667731235,1.7266281618591073
Expected Reward UCB,15,1.4836822858904226,0.4937452907134168,1.1342004076295862
Expected Reward UCB,16,1.5775966079920307,0.38965249511420275,1.5226966320944173
Expected Reward UCB,17,1.5261007140612644,0.43887354501362297,1.083362002048684
Expected Reward UCB,18,1.5725433554546924,0.38721022663751753,1.5420363152703658
Expected Reward UCB,19,1.5865519979707645,0.3683513674095061,1.338666259271964
Expected Reward UCB,20,1.5770215819092441,0.36614650958976236,1.5145976525538054
Expected Reward UCB,21,1.5284132030646647,0.4009126220276871,1.2210937881315325
Expected Reward UCB,22,1.4684191117132632,0.4476154620477598,1.6541225564987825
Expected Reward UCB,23,1.4909356848119621,0.4213791583931091,1.5615224817241053
Expected Reward UCB,24,1.541397086844394,0.36474713131492636,1.569076355571029
Expected Reward UCB,25,1.558614188581656,0.3467617472553728,1.404046993468087
Expected Reward UCB,26,1.5806136059740334,0.3123812667164959,1.5030462148782155
Expected Reward UCB,27,1.49597912230258,0.3866337892897915,1.121100210446258
Expected Reward UCB,28,1.4978234696469535,0.38141277880458074,1.1686264499177124
Expected Reward UCB,29,1.5047006547333148,0.37102266944914536,1.5826351558392704
Expected Reward UCB,30,1.4293000405508969,0.4334772171300656,1.2914372761211006
Expected Reward UCB,31,1.5745960190647001,0.281530332669878,1.387476500208297
Expected Reward UCB,32,1.4919535544415865,0.3631902847076373,1.3010789563504417
Expected Reward UCB,33,1.5328094527629792,0.3203682393357075,1.166147521164776
Expected Reward UCB,34,1.4429956468493048,0.40919609621000463,0.9785037721120459
Expected Reward UCB,35,1.5524761857489215,0.28246934088775255,1.4734897605552915
Expected Reward UCB,36,1.5064968010775297,0.3277147380342045,1.5628830430981298
Expected Reward UCB,37,1.5121213193641165,0.31882893315896343,1.8095917515315199
Expected Reward UCB,38,1.4782157196625965,0.35007125202333544,1.2086351021842403
Expected Reward UCB,39,1.4633480603731435,0.3533999397912431,1.7679958321865012
Expected Reward UCB,40,1.3948758845113158,0.42105888220405774,1.9046978621208568
Expected Reward UCB,41,1.471222489212198,0.3447122775031765,1.4971505769237115
Expected Reward UCB,42,1.4486789105187092,0.3617976553150261,1.3805270748184664
Expected Reward UCB,43,1.30572405053766,0.49510932947077746,1.531586927090171
Expected Reward UCB,44,1.4312862744872459,0.35758673142977226,1.6155444336202174
Expected Reward UCB,45,1.4438935444092451,0.3394837472482629,1.3324823379899438
Expected Reward UCB,46,1.3708449585148084,0.40994268243867743,1.2956283718234662
Expected Reward UCB,47,1.3500199813308553,0.4283325493853512,1.4882206838319052
Expected Reward UCB,48,1.430545340375232,0.34680049038009425,1.2609961728809012
Expected Reward UCB,49,1.3834937409525254,0.3894459579627548,1.2439809480788202
Expected Reward UCB,50,1.4602377191332452,0.3075988904620385,1.3889871921411512
Expected Reward UCB,51,1.3509880039845996,0.41220145666278646,1.645198265528962
Expected Reward UCB,52,1.3292591250404056,0.4331218156023384,1.4936115967187504
Expected Reward UCB,53,1.3841810606478582,0.37650460579177547,1.6452648717873994
Expected Reward UCB,54,1.3974132255996126,0.3576286363807314,1.3232428589671696
Expected Reward UCB,55,1.4412124300993485,0.3115019128959088,1.743725702392274
Expected Reward UCB,56,1.4024003893290586,0.3432808358221879,1.4623435018965958
Expected Reward UCB,57,1.4053773800392726,0.33553385327780527,1.7451222991018862
Expected Reward UCB,58,1.3607800659135239,0.38012310148786493,1.185936095481872
Expected Reward UCB,59,1.4284008815345957,0.3040647184661533,1.6726752691039701
Expected Reward UCB,60,1.4357826110302132,0.291286346107788,1.4880860300072511
Expected Reward UCB,61,1.4152100879455494,0.3057610916840719,1.422285337158384
Expected Reward UCB,62,1.3607638353216087,0.3519936346210104,1.5813653692648113
Expected Reward UCB,63,1.3361388009875292,0.3746033605317666,1.3914750537234761
Expected Reward UCB,64,1.3455827438255255,0.36324275155397723,1.416789363810337
Expected Reward UCB,65,1.3532493010261106,0.3555761943533922,1.376988410290022
Expected Reward UCB,66,1.3516553513904503,0.35267660159645153,1.545368631626885
Expected Reward UCB,67,1.3896242833497996,0.31470766963710256,1.5263340183661216
Expected Reward UCB,68,1.4020063147995572,0.3023256381873448,1.189137896406409
Expected Reward UCB,69,1.3527141945305694,0.35161775845633236,1.3082454706821847
Expected Reward UCB,70,1.3830793597648579,0.3182136137608182,1.3610798332710352
Expected Reward UCB,71,1.410950302778093,0.28916522141795026,1.4755888703226498
Expected Reward UCB,72,1.3906638360822312,0.29625788451311225,1.197839085127827
Expected Reward UCB,73,1.3764903106168704,0.3056740966622906,1.5493700895471947
Expected Reward UCB,74,1.3897733298085013,0.2902708975643088,1.378900246029347
Expected Reward UCB,75,1.3751682845032702,0.2962298223236367,1.6523382017309858
Expected Reward UCB,76,1.357170238901213,0.2986291813557494,1.6021246971029903
Expected Reward UCB,77,1.3884645705465601,0.26525438288168135,1.52054687682035
Expected Reward UCB,78,1.4445936297457307,0.19362966381897315,1.5889889166179394
Expected Reward UCB,79,1.358913650321043,0.27215903172949607,1.44851141367638
Expected Reward UCB,80,1.3008898356556358,0.32939501464495125,1.8313672169334352
Expected Reward UCB,81,1.3291319678816287,0.2962425325062334,1.5825359030556096
