Round,Expected Reward,Regret,Real Reward,exploration_parameter
1,1.214174914772499,0.9952933124618677,1.2162061966468811,0.1
2,1.279713911547642,0.9297543156867253,1.3377885223592583,0.1
3,1.2654332245126154,0.944035002721749,1.2117074744743013,0.1
4,1.324303417648601,0.8851648095857638,1.303360637265019,0.1
5,1.3341667810187356,0.8753014462156323,1.3155857229541388,0.1
6,1.3793983754584433,0.8300698517759207,1.342432060972504,0.1
7,1.3762697191754725,0.8331985080588952,1.3879057541624682,0.1
8,1.4153550753924933,0.7941131518418706,1.4050573131979132,0.1
9,1.4516506697131524,0.7578175575212159,1.4724539112528303,0.1
10,1.4401042260059975,0.7693640012283707,1.430015560961209,0.1
11,1.4967494851851235,0.7127187420492412,1.466459842794623,0.1
12,1.4933591123150418,0.7161091149193234,1.5683011605798582,0.1
13,1.5515784757058801,0.657889751528486,1.4821730970688909,0.1
14,1.5229685149469727,0.6864997122873917,1.5229540443975933,0.1
15,1.568462318493608,0.6410059087407577,1.5869964962396685,0.1
16,1.5997230387224823,0.6097451885118825,1.5691173108917604,0.1
17,1.5937434728329145,0.6157247544014505,1.6312876437461488,0.1
18,1.6069851849436079,0.6024830422907563,1.607160261087497,0.1
19,1.6269697190444687,0.5824985081898951,1.637461551678585,0.1
0,1.15055382130029,1.0301294129700111,1.199765149748767,0.2
1,1.1552683433790838,1.0254148908912173,1.2608791144302773,0.2
2,1.1986154261008928,0.9820678081694044,1.2165480900372014,0.2
3,1.2468656415174626,0.9338175927528373,1.1839627083222297,0.2
4,1.2809402098658855,0.8997430244044137,1.217160800569328,0.2
5,1.3206499713477273,0.8600332629225705,1.2745075177028586,0.2
6,1.322893476933843,0.857789757336456,1.361256417318785,0.2
7,1.3574100896822108,0.8232731445880865,1.3657776265097012,0.2
8,1.3615238131193448,0.8191594211509543,1.3586601648118188,0.2
9,1.402062803752999,0.7786204305172978,1.3985279245163469,0.2
10,1.395567472758354,0.7851157615119443,1.4273511331324245,0.2
11,1.434134762069592,0.7465484722007053,1.4226685796858292,0.2
12,1.4755584833938686,0.7051247508764299,1.4018740306753736,0.2
13,1.4529867082855987,0.7276965259846984,1.4387542487940987,0.2
14,1.5057288986880317,0.6749543355822661,1.5220628359843846,0.2
15,1.4778767807540867,0.7028064535162117,1.5126818651516427,0.2
16,1.4849221265387673,0.6957611077315322,1.492348842890448,0.2
17,1.5193035075628605,0.6613797267074377,1.5207318704242607,0.2
18,1.5522743401067132,0.628408894163584,1.5466081287451376,0.2
19,1.5554639424076802,0.6252192918626192,1.4954821616631004,0.2
0,1.2021942253858389,1.0565200604438048,1.1492554893523625,0.5
