Method,Round,Expected Reward,Regret,Real Reward
Expected Reward UCB,14,3.603527768241289,1.0848433375465594,3.609866351793587
Expected Reward UCB,15,3.622357080537802,1.0713216600338478,3.6225845115442823
Expected Reward UCB,16,3.6921825721338974,1.0014961684377517,3.69240977284601
Expected Reward UCB,17,3.6921825721338974,1.0014961684377517,3.69240977284601
Expected Reward UCB,18,3.6921825721338974,1.0014961684377517,3.69240977284601
Expected Reward UCB,19,3.6921825721338974,1.0014961684377517,3.69240977284601
Expected Reward Fisher,0,0.8583466996088802,1.292665028951396,0.7380517890212372
Expected Reward Fisher,1,1.024753629395154,1.126258099165122,1.295435026943217
Expected Reward Fisher,2,1.0852736576048683,1.0657380709554076,1.4286318758490313
Expected Reward Fisher,3,0.8746469956891636,1.2763647328711123,1.228809824526975
Expected Reward Fisher,4,0.7951209541078058,1.3558907744524702,0.5423568906177791
Expected Reward Fisher,5,2.956358383479899,1.172585345940306,2.991122389606378
Expected Reward Fisher,6,3.1062248905158034,1.022718838904402,3.6306253944445475
Expected Reward Fisher,7,3.463752083887216,0.6651916455329898,3.7537225329194066
Expected Reward Fisher,8,3.3309515484910777,0.7979921809291286,3.8225059808751434
Expected Reward Fisher,9,3.5075745519143426,0.6213691775058632,3.6332884795815694
Expected Reward Fisher,10,4.164182192585092,0.5145114816723255,4.213774125238052
Expected Reward Fisher,11,4.205984010136751,0.47270966412066534,4.25624023236538
Expected Reward Fisher,12,4.207238433750935,0.47145524050648185,4.257494641983624
Expected Reward Fisher,13,4.2081079552090275,0.4705857190483901,4.077912749687814
Expected Reward Fisher,14,4.20685093560509,0.47184273865232707,4.277308342632695
Expected Reward Fisher,15,4.204558134606048,0.48902955146543603,4.214927975545512
Expected Reward Fisher,16,4.251699461830278,0.4418882242412055,4.260806935697734
Expected Reward Fisher,17,4.24917171929969,0.44441596677179385,4.258279069305379
Expected Reward Fisher,18,4.251699461830278,0.4418882242412055,4.260806935697734
Expected Reward Fisher,19,4.1622331911202135,0.5313544949512699,4.171339725564472
Expected Reward Thompson,0,1.2945050044902977,1.1386176725039932,1.6142572176723085
Expected Reward Thompson,1,1.3594413860855816,1.0736812909087088,1.5332561124512765
Expected Reward Thompson,2,1.3079958081747496,1.125126868819541,1.0044054083190639
Expected Reward Thompson,3,1.2534722239589882,1.179650453035303,1.5878968272643688
Expected Reward Thompson,4,1.4185192945983178,1.014603382395973,1.1789830296704547
Expected Reward Thompson,5,3.2137395403381523,1.1447186623272803,3.2930052937800918
Expected Reward Thompson,6,3.3361150337152727,1.0223431689501603,3.341706426752624
Expected Reward Thompson,7,3.5583838816118423,0.8000743210535912,3.554232027898878
Expected Reward Thompson,8,3.4241943514322615,0.9342638512331721,3.439323398619063
Expected Reward Thompson,9,3.3796616112768114,0.9787965913886216,3.175303359391028
Expected Reward Thompson,10,3.666604867279845,1.0228390063462673,3.6772408151298728
Expected Reward Thompson,11,3.6905313186077464,0.9989125550183642,3.692388132320054
Expected Reward Thompson,12,3.8047667312115947,0.8846771424145169,3.81678494008174
Expected Reward Thompson,13,3.696799792909119,0.9926440807169927,3.6977509882695885
Expected Reward Thompson,14,3.78556664123185,0.903877232394262,3.7976216172059116
Expected Reward Thompson,15,3.911447818237008,0.7822305279646413,3.9117801623031427
Expected Reward Thompson,16,3.8208761570010155,0.8728021892006332,3.821055839996678
Expected Reward Thompson,17,3.817966910419326,0.875711435782323,3.8182986776544916
Expected Reward Thompson,18,3.82000496447476,0.8736733817268881,3.820337096518643
Expected Reward Thompson,19,4.014626358003172,0.6790519881984773,4.0148056937630034
expected Reward Proxi,0,0.9942701705208433,1.3938315037554552,1.154628356809231
expected Reward Proxi,1,1.2182795435064253,1.1698221307698733,0.6965364234090596
expected Reward Proxi,2,1.2119774825149492,1.1761241917613496,2.097128088874222
expected Reward Proxi,3,1.1622411928652714,1.2258604814110274,0.6965364234090596
expected Reward Proxi,4,1.1581799439723608,1.229921730303938,1.6315173368270082
expected Reward Proxi,5,3.723129997450191,0.5329402887374374,3.478263141006702
expected Reward Proxi,6,3.647303415231702,0.6087668709559252,3.466325346321063
expected Reward Proxi,7,3.620840186454025,0.6352300997336026,3.9319360983682765
expected Reward Proxi,8,3.62471930322859,0.6313509829590374,3.7010104270064303
expected Reward Proxi,9,3.62471930322859,0.6313509829590374,3.251096878968377
expected Reward Proxi,10,4.462714149146486,0.18371644050682553,4.1703805883771645
expected Reward Proxi,11,4.462714149146486,0.18371644050682553,4.1703805883771645
expected Reward Proxi,12,4.462714149146486,0.18371644050682553,4.1703805883771645
expected Reward Proxi,13,4.462714149146486,0.18371644050682553,4.405065669062532
expected Reward Proxi,14,4.462714149146486,0.18371644050682553,4.389368465053371
expected Reward Proxi,15,4.6156293126663135,0.07654095422007043,4.62781295506226
expected Reward Proxi,16,4.6156293126663135,0.07654095422007043,4.62781295506226
expected Reward Proxi,17,4.6156293126663135,0.07654095422007043,4.62781295506226
expected Reward Proxi,18,4.6156293126663135,0.07654095422007043,4.62781295506226
expected Reward Proxi,19,4.6156293126663135,0.07654095422007043,4.408825078386053
expected Reward Ellipsoid,0,1.191586338906699,1.2184046969525444,1.2756896163946565
expected Reward Ellipsoid,1,1.3082794406680622,1.1017115951911813,1.533619098569087
expected Reward Ellipsoid,2,1.0312684944015649,1.378722541457678,1.5421893946280913
expected Reward Ellipsoid,3,1.0613140108329964,1.348677025026247,0.6439322720011397
expected Reward Ellipsoid,4,1.3338919405431824,1.0760990953160607,1.3584949956565104
expected Reward Ellipsoid,5,3.7287054104943147,0.7746404040891618,3.9754368605869645
expected Reward Ellipsoid,6,3.700685197215811,0.802660617367666,3.6973888859964674
expected Reward Ellipsoid,7,3.78540337200927,0.7179424425742073,4.124521579304101
expected Reward Ellipsoid,8,3.8503549844948126,0.6529908300886642,3.844098140809905
expected Reward Ellipsoid,9,3.423883437128338,1.0794623774551386,3.634605628124082
expected Reward Ellipsoid,10,3.987037976301335,0.6930142826152289,4.018154644340463
expected Reward Ellipsoid,11,4.071341946716273,0.6087103122002905,4.0942013787395055
expected Reward Ellipsoid,12,4.139025896842925,0.5410263620736372,4.181045273369118
expected Reward Ellipsoid,13,4.157592727084821,0.5224595318317427,4.189222154349005
expected Reward Ellipsoid,14,4.137696142839055,0.5423561160775081,4.161724702359137
expected Reward Ellipsoid,15,4.2047462057484015,0.48879712183928936,4.204942225045242
expected Reward Ellipsoid,16,4.268537745658176,0.42500558192951454,4.26952752374575
expected Reward Ellipsoid,17,4.329955917456347,0.36358741013134377,4.3310791523537295
expected Reward Ellipsoid,18,4.309484023902295,0.3840593036853955,4.311079751648707
expected Reward Ellipsoid,19,4.163006015105729,0.5305373124819612,4.16397165852333
